Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X,Centroid Y,Distance in um to nearest Cell,Area,Perimeter
CBPM03Lc_Sec05_NPY_merged.tif,8aa33233-bdc4-400f-8c00-a2aa51b4f3fd,Annotation,Cell72,Cell,Root object (Image),Polygon,411.94,353.67,3.5953,57.64,28.53
CBPM03Lc_Sec05_NPY_merged.tif,7d68e653-f7c7-4daf-9bf6-a5037c1d2355,Annotation,Cell74,Cell,Root object (Image),Polygon,276.09,355.69,5.8412,28.96,21.82
CBPM03Lc_Sec05_NPY_merged.tif,f63d1f8d-1240-477f-aa84-bc637fa84459,Annotation,Cell24,Cell,Root object (Image),Polygon,395.31,357.37,1.8584,54.05,28.07
CBPM03Lc_Sec05_NPY_merged.tif,56073b60-6653-4591-98e5-7327e3920ed0,Annotation,Cell48,Cell,Root object (Image),Polygon,313.8,357.95,6.8077,27.1,20.37
CBPM03Lc_Sec05_NPY_merged.tif,3c549517-1bc8-48cf-ace2-ecc4ebfd928b,Annotation,Cell70,Cell,Root object (Image),Polygon,299.22,364.63,6.6463,63.87,29.73
CBPM03Lc_Sec05_NPY_merged.tif,fe938357-8d5f-4857-aed2-28c5333bacbc,Annotation,Cell18,Cell,Root object (Image),Polygon,445.4,364.08,12.7821,25.27,18.76
CBPM03Lc_Sec05_NPY_merged.tif,1207e7d0-5865-4610-9138-b686cd7f7959,Annotation,Cell43,Cell,Root object (Image),Polygon,393.14,366.48,2.0933,47.64,26.21
CBPM03Lc_Sec05_NPY_merged.tif,86ca3564-e7b3-4865-9e3c-cf08ce57d074,Annotation,Cell12,Cell,Root object (Image),Polygon,323.08,374.07,11.5566,20.72,16.69
CBPM03Lc_Sec05_NPY_merged.tif,db411468-004d-4737-84ec-990aaeca7493,Annotation,Cell14,Cell,Root object (Image),Polygon,348.5,374.39,7.3277,26.02,18.65
CBPM03Lc_Sec05_NPY_merged.tif,e6105468-db30-480f-9490-949589fa2e41,Annotation,Cell63,Cell,Root object (Image),Polygon,396.91,374.33,3.1575,15.22,14.3
CBPM03Lc_Sec05_NPY_merged.tif,5ce993c9-0954-40a8-a696-ae26f1dbe68f,Annotation,Cell59,Cell,Root object (Image),Polygon,432.2,376.97,12.8396,19.35,15.96
CBPM03Lc_Sec05_NPY_merged.tif,3ef6cb2d-6d60-45c5-889d-84b2f656e70f,Annotation,Cell61,Cell,Root object (Image),Polygon,379.84,380.28,7.9186,77.53,32.24
CBPM03Lc_Sec05_NPY_merged.tif,49b7ef28-ea7e-440d-8280-2d54fa3e2d28,Annotation,Cell35,Cell,Root object (Image),Polygon,338.13,384.98,4.1465,63.83,31.1
CBPM03Lc_Sec05_NPY_merged.tif,0cedffc1-cdde-4890-9a08-b671c6fa9a00,Annotation,Cell23,Cell,Root object (Image),Polygon,286.39,385.08,16.0498,42.07,24.62
CBPM03Lc_Sec05_NPY_merged.tif,78603d48-296c-4fab-9dd2-897c40ae4e54,Annotation,Cell54,Cell,Root object (Image),Polygon,395.13,385.12,5.8483,28.44,19.93
CBPM03Lc_Sec05_NPY_merged.tif,977ae0a5-02ee-4a18-bc51-5514334ea11b,Annotation,Cell7,Cell,Root object (Image),Polygon,350.29,390.55,4.0601,42.57,24.64
CBPM03Lc_Sec05_NPY_merged.tif,8a5d6ac1-42e1-4f70-84f4-034eb2a7f2c1,Annotation,Cell55,Cell,Root object (Image),Polygon,320.84,396.41,12.8407,20.61,16.45
CBPM03Lc_Sec05_NPY_merged.tif,43ca4f5d-731a-4a7a-95d4-e9a40fea48a1,Annotation,Cell9,Cell,Root object (Image),Polygon,435.75,396.4,3.1108,14.56,14.17
CBPM03Lc_Sec05_NPY_merged.tif,ab97bd98-1905-4f10-a403-4a722e37cd87,Annotation,Cell67,Cell,Root object (Image),Polygon,377.07,399.99,2.0319,32.43,22.4
CBPM03Lc_Sec05_NPY_merged.tif,ad14f484-7aa6-4624-b627-764e8c3956a0,Annotation,Cell16,Cell,Root object (Image),Polygon,349.52,403.16,2.9613,53.89,29.57
CBPM03Lc_Sec05_NPY_merged.tif,c8ce7922-cd86-4b93-86ba-8550b64b64a0,Annotation,Cell52,Cell,Root object (Image),Polygon,437.13,403.9,1.1988,28.98,20.98
CBPM03Lc_Sec05_NPY_merged.tif,acfcf60e-320b-477e-b00c-e657605aa146,Annotation,Cell15,Cell,Root object (Image),Polygon,373.3,407.56,2.0674,52.27,26.79
CBPM03Lc_Sec05_NPY_merged.tif,c0fcc132-5c1a-4e4f-acf1-c102f1829d26,Annotation,Cell71,Cell,Root object (Image),Polygon,430.97,408.32,1.3133,28.69,20.14
CBPM03Lc_Sec05_NPY_merged.tif,2f4b5a8c-b6c4-4024-9368-2e4d5712220c,Annotation,Cell69,Cell,Root object (Image),Polygon,410.66,410.32,6.9405,19.38,16.47
CBPM03Lc_Sec05_NPY_merged.tif,9bb819f8-bf6d-44ed-aef7-88ec299dfca4,Annotation,Cell4,Cell,Root object (Image),Polygon,353.62,411.17,1.4649,24.24,19.8
